date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:37:45	7075/7075	---MCZ	200	added ('OK')	text/html	etag:W/%225abcd9fd-1ba3%22	https://madsparrow.me/emily/index.html	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/index.html	(from )
21:37:47	65/65	---M--	200	added ('OK')	text/plain	etag:%225a61e795-41%22	https://madsparrow.me/robots.txt		(from )
21:37:47	1776/1776	---M--	200	added ('OK')	image/png	etag:%225abcd9fd-6f0%22	https://madsparrow.me/emily/assets/images/ico/favicon.png	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/ico/favicon.png	(from https://madsparrow.me/emily/index.html)
21:37:49	68316/68316	---MCZ	200	added ('OK')	text/css	etag:W/%225abcd9f4-10adc%22	https://madsparrow.me/emily/assets/css/plugins.min.css	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/css/plugins.min.css	(from https://madsparrow.me/emily/index.html)
21:37:50	27438/27438	---MCZ	200	added ('OK')	text/css	etag:W/%225abcd9f4-6b2e%22	https://madsparrow.me/emily/assets/css/style.css	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/css/style.css	(from https://madsparrow.me/emily/index.html)
21:37:51	791/791	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a61e7a6-317%22	https://madsparrow.me/emily/logo-dark.svg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/logo-dark.svg	(from https://madsparrow.me/emily/index.html)
21:37:52	789/789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a61e7a6-315%22	https://madsparrow.me/emily/logo-light.svg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/logo-light.svg	(from https://madsparrow.me/emily/index.html)
21:37:53	9629/9629	---MCZ	200	added ('OK')	text/html	etag:W/%225a61e7a5-259d%22	https://madsparrow.me/emily/albums.html	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/albums.html	(from https://madsparrow.me/emily/index.html)
21:37:54	6892/6892	---MCZ	200	added ('OK')	text/html	etag:W/%225a61e7a6-1aec%22	https://madsparrow.me/emily/gallery.html	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/gallery.html	(from https://madsparrow.me/emily/index.html)
21:37:55	7179/7179	---MCZ	200	added ('OK')	text/html	etag:W/%225a61e7a5-1c0b%22	https://madsparrow.me/emily/blog.html	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/blog.html	(from https://madsparrow.me/emily/index.html)
21:37:56	5777/5777	---MCZ	200	added ('OK')	text/html	etag:W/%225a61e7a5-1691%22	https://madsparrow.me/emily/about.html	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/about.html	(from https://madsparrow.me/emily/index.html)
21:37:57	6691/6691	---MCZ	200	added ('OK')	text/html	etag:W/%225a61e7a5-1a23%22	https://madsparrow.me/emily/contact.html	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/contact.html	(from https://madsparrow.me/emily/index.html)
21:38:00	204467/204467	---M--	200	added ('OK')	image/jpeg	etag:%225abcd9f5-31eb3%22	https://madsparrow.me/emily/assets/images/3.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/3.jpg	(from https://madsparrow.me/emily/index.html)
21:38:01	279764/279764	---M--	200	added ('OK')	image/jpeg	etag:%225abcd9f5-444d4%22	https://madsparrow.me/emily/assets/images/2.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/2.jpg	(from https://madsparrow.me/emily/index.html)
21:38:01	253993/253993	---M--	200	added ('OK')	image/jpeg	etag:%225abcd9f4-3e029%22	https://madsparrow.me/emily/assets/images/1.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/1.jpg	(from https://madsparrow.me/emily/index.html)
21:38:02	123191/123191	---M--	200	added ('OK')	image/jpeg	etag:%225abcd9f6-1e137%22	https://madsparrow.me/emily/assets/images/4.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/4.jpg	(from https://madsparrow.me/emily/index.html)
21:38:03	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%225abcd9fa-15283%22	https://madsparrow.me/emily/assets/js/jquery-3.2.1.min.js	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/js/jquery-3.2.1.min.js	(from https://madsparrow.me/emily/index.html)
21:38:05	410302/410302	---MCZ	200	added ('OK')	application/javascript	etag:W/%225abcd9fa-642be%22	https://madsparrow.me/emily/assets/js/plugins.min.js	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/js/plugins.min.js	(from https://madsparrow.me/emily/index.html)
21:38:05	7208/7208	---MCZ	200	added ('OK')	application/javascript	etag:W/%225abcd9fa-1c28%22	https://madsparrow.me/emily/assets/js/main.js	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/js/main.js	(from https://madsparrow.me/emily/index.html)
21:38:05	32375/32375	---M--	200	added ('OK')	image/jpeg	etag:%225abcd9f5-7e77%22	https://madsparrow.me/emily/assets/images/2a.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/2a.jpg	(from https://madsparrow.me/emily/albums.html)
